                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    178,                  3e-05,                0.52016,                      1,                0.99001,              0.0064954,              0.0064954,              0.0064954
                    179,                  3e-05,                0.52016,                      1,                0.99022,              0.0064756,              0.0064756,              0.0064756
                    180,                  2e-05,                0.52016,                      1,                0.99072,              0.0064558,              0.0064558,              0.0064558
                    181,                  3e-05,                0.52016,                      1,                0.99097,               0.006436,               0.006436,               0.006436
                    182,                  1e-05,                0.52016,                      1,                0.99127,              0.0064162,              0.0064162,              0.0064162
                    183,                  2e-05,                0.52419,                      1,                 0.9914,              0.0063964,              0.0063964,              0.0063964
                    184,                  1e-05,                0.52016,                      1,                0.99191,              0.0063766,              0.0063766,              0.0063766
                    185,                  2e-05,                0.52016,                      1,                0.99187,              0.0063568,              0.0063568,              0.0063568
                    186,                  3e-05,                0.52419,                      1,                0.99144,               0.006337,               0.006337,               0.006337
                    187,                  1e-05,                0.52419,                      1,                0.99125,              0.0063172,              0.0063172,              0.0063172
                    188,                  2e-05,                0.52016,                      1,                0.99121,              0.0062974,              0.0062974,              0.0062974
                    189,                  2e-05,                0.51613,                      1,                0.99092,              0.0062776,              0.0062776,              0.0062776
                    190,                  2e-05,                0.52016,                      1,                 0.9908,              0.0062578,              0.0062578,              0.0062578
                    191,                  4e-05,                0.52419,                      1,                0.99184,               0.006238,               0.006238,               0.006238
                    192,                  2e-05,                0.53226,                      1,                0.99218,              0.0062182,              0.0062182,              0.0062182
                    193,                  2e-05,                0.52823,                      1,                 0.9924,              0.0061984,              0.0061984,              0.0061984
                    194,                  1e-05,                0.52823,                      1,                0.99226,              0.0061786,              0.0061786,              0.0061786
                    195,                  2e-05,                0.52823,                      1,                0.99218,              0.0061588,              0.0061588,              0.0061588
                    196,                  2e-05,                0.52823,                      1,                0.99149,               0.006139,               0.006139,               0.006139
                    197,                  1e-05,                0.52823,                      1,                 0.9907,              0.0061192,              0.0061192,              0.0061192
                    198,                  1e-05,                0.52419,                      1,                0.99059,              0.0060994,              0.0060994,              0.0060994
                    199,                  2e-05,                0.52016,                      1,                0.99052,              0.0060796,              0.0060796,              0.0060796
                    200,                  2e-05,                0.52016,                      1,                0.99065,              0.0060598,              0.0060598,              0.0060598
